x,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3,-0.000119572,-8.77068E-05,-9.16373E-05,-9.45925E-05,-7.3424E-05,-6.25904E-05,-7.47326E-05,-5.02956E-05,-2.42233E-05,-0.000104055,-0.000120744,-7.79485E-05,-0.000139544,-0.000159932,-0.000105545,-0.000123515,-0.000114608,-7.47002E-05,-9.97104E-05,-8.60719E-05,-5.80504E-05,-3.89692E-05,-1.39531E-05,-1.11168E-05,-1.6305E-05,-1.46932E-05,-1.73522E-05,-1.54801E-05,-7.09209E-06,-5.29386E-06
4,-0.000138751,-0.000104541,-0.000107008,-0.00010907,-9.03433E-05,-7.52637E-05,-8.74611E-05,-7.73514E-05,-4.16389E-05,-0.000122763,-0.000147754,-9.9771E-05,-0.000153647,-0.000182554,-0.000117117,-0.000136101,-0.000129258,-8.26163E-05,-0.00010684,-8.93728E-05,-5.9856E-05,-4.13694E-05,-1.68608E-05,-1.30568E-05,-1.93258E-05,-1.60213E-05,-1.8526E-05,-1.63776E-05,-8.19968E-06,-6.12319E-06
5,-0.000156831,-0.000124931,-0.000124903,-0.000125392,-0.000105718,-9.32432E-05,-0.000100911,-9.08504E-05,-7.04057E-05,-0.000141225,-0.000167548,-0.000128461,-0.000176794,-0.000197507,-0.000141137,-0.000148384,-0.000142619,-9.81659E-05,-0.000115239,-9.6942E-05,-6.33558E-05,-4.33047E-05,-1.92912E-05,-1.615E-05,-2.13937E-05,-1.92364E-05,-1.9946E-05,-1.76357E-05,-9.16506E-06,-6.83419E-06
6,-9.2612E-05,-6.85629E-05,-6.12678E-05,-6.95247E-05,-5.47112E-05,-4.51501E-05,-4.46525E-05,-4.87316E-05,-2.80742E-05,-5.10062E-05,-0.000109585,-6.60931E-05,-8.63854E-05,-0.000124476,-9.38993E-05,-7.24234E-05,-0.000103774,-5.58675E-05,-6.59609E-05,-7.03156E-05,-3.93522E-05,-3.22208E-05,-1.32549E-05,-7.30335E-06,-1.1674E-05,-1.28327E-05,-9.95681E-06,-1.34497E-05,-5.60798E-06,-4.26354E-06
7,-9.95429E-06,2.20584E-08,-1.07805E-06,-1.57323E-06,4.92427E-06,9.28941E-06,6.66518E-06,1.12999E-05,1.68346E-05,-5.8653E-06,-1.33961E-05,-4.37253E-06,-1.99807E-05,-2.82481E-05,-1.6202E-05,-2.21794E-05,-2.29936E-05,-1.4569E-05,-2.1006E-05,-1.79514E-05,-1.10625E-05,-6.73896E-06,-1.4991E-06,-9.12054E-07,-2.16455E-06,-2.52012E-06,-3.16629E-06,-2.85396E-06,-1.17402E-06,-4.24575E-07
8,-8.65932E-06,3.20548E-06,7.73039E-07,1.41718E-07,7.36815E-06,1.13287E-05,8.08334E-06,1.39928E-05,1.83235E-05,-4.06212E-06,-1.09735E-05,-2.95135E-06,-1.84624E-05,-2.75339E-05,-1.57846E-05,-2.16065E-05,-2.23088E-05,-1.41349E-05,-2.02905E-05,-1.76552E-05,-1.07977E-05,-6.54904E-06,-1.30975E-06,-7.26941E-07,-1.98836E-06,-1.58318E-06,-3.08693E-06,-2.78169E-06,-1.11264E-06,-3.07959E-07
9,-7.3173E-06,4.5748E-06,4.15225E-06,2.10784E-06,9.18403E-06,1.39188E-05,1.02467E-05,1.54957E-05,2.11764E-05,-2.47719E-06,-9.0473E-06,-3.84739E-07,-1.69493E-05,-2.59149E-05,-1.50259E-05,-2.11624E-05,-2.16962E-05,-1.34087E-05,-1.98278E-05,-1.68939E-05,-1.04833E-05,-6.2961E-06,-1.13982E-06,-5.60623E-07,-1.82971E-06,-1.43773E-06,-1.82835E-06,-2.717E-06,-1.05767E-06,-2.03524E-07
10,-5.33275E-06,5.99149E-06,5.6036E-06,5.69747E-06,1.12661E-05,1.58425E-05,1.29966E-05,1.77904E-05,2.27679E-05,5.56026E-07,-7.35374E-06,1.65558E-06,-1.4221E-05,-2.43017E-05,-1.33077E-05,-2.03567E-05,-2.12203E-05,-1.27601E-05,-1.9056E-05,-1.64012E-05,-9.67601E-06,-5.98828E-06,-9.00568E-07,-4.11913E-07,-1.68766E-06,-1.30725E-06,-1.71564E-06,-1.11731E-06,-1.00886E-06,-1.10481E-07
11,-3.50407E-06,8.08995E-06,7.1067E-06,7.23988E-06,1.50734E-05,1.80507E-05,1.50411E-05,2.07092E-05,2.52029E-05,2.25125E-06,-4.12434E-06,3.4501E-06,-1.20507E-05,-2.13992E-05,-1.15955E-05,-1.85332E-05,-2.03614E-05,-1.22574E-05,-1.83668E-05,-1.5581E-05,-9.15475E-06,-5.1555E-06,-6.00685E-07,-1.86846E-07,-1.56112E-06,-1.19101E-06,-1.61516E-06,-1.03926E-06,9.51853E-07,-2.80277E-08
12,-1.42231E-06,1.00238E-05,9.33631E-06,8.83893E-06,1.67082E-05,2.20943E-05,1.73904E-05,2.28807E-05,2.83043E-05,4.84355E-06,-2.31554E-06,6.87698E-06,-1.01408E-05,-1.90888E-05,-8.51456E-06,-1.67159E-05,-1.84231E-05,-1.13482E-05,-1.78328E-05,-1.48491E-05,-8.28596E-06,-4.62407E-06,2.58313E-07,1.05099E-07,-1.35077E-06,-1.08809E-06,-1.52639E-06,-9.70462E-07,9.92868E-07,1.57172E-06
13,1.16935E-06,1.22286E-05,1.13932E-05,1.12115E-05,1.84053E-05,2.38329E-05,2.1692E-05,2.53784E-05,3.06155E-05,8.14463E-06,4.45191E-07,8.79829E-06,-6.49759E-06,-1.70553E-05,-6.0612E-06,-1.34451E-05,-1.64917E-05,-9.29306E-06,-1.68677E-05,-1.42823E-05,-7.51081E-06,-3.72192E-06,8.00139E-07,9.92705E-07,-1.06693E-06,-8.93525E-07,-1.44866E-06,-9.10692E-07,1.02791E-06,1.69762E-06
14,4.48564E-06,1.49785E-05,1.37403E-05,1.34024E-05,2.09272E-05,2.56406E-05,2.35477E-05,2.99535E-05,3.32766E-05,1.06085E-05,3.95841E-06,1.17328E-05,-4.4519E-06,-1.31819E-05,-3.90052E-06,-1.08392E-05,-1.30178E-05,-7.24441E-06,-1.46868E-05,-1.32581E-05,-6.91046E-06,-2.63623E-06,1.73759E-06,1.54629E-06,-1.48759E-07,-6.18413E-07,-1.2709E-06,-8.59637E-07,1.05687E-06,1.80772E-06
15,7.66155E-06,1.85029E-05,1.66699E-05,1.5904E-05,2.32591E-05,2.83277E-05,2.54788E-05,3.19325E-05,3.81486E-05,1.34452E-05,6.58256E-06,1.54696E-05,-1.32959E-06,-1.10044E-05,2.15279E-07,-8.54305E-06,-1.02493E-05,-3.55643E-06,-1.2512E-05,-1.09435E-05,-5.82441E-06,-2.04029E-06,3.15358E-06,2.52194E-06,4.17439E-07,3.32019E-07,-1.00507E-06,-6.99677E-07,1.07975E-06,1.90295E-06
16,-3.87195E-06,8.46152E-06,5.50334E-06,6.60817E-06,1.53089E-05,2.09014E-05,1.69303E-05,2.57824E-05,3.18533E-05,-1.99295E-06,-2.4113E-06,7.15242E-06,-1.31703E-05,-2.08965E-05,-6.6766E-06,-2.15841E-05,-1.75176E-05,-1.23246E-05,-2.42071E-05,-1.7841E-05,-1.31736E-05,-5.52762E-06,1.04376E-06,5.87326E-07,-2.96887E-06,-1.89012E-06,-4.62283E-06,-2.34474E-06,-4.79806E-07,6.78386E-07
17,-1.94751E-05,-3.80099E-06,-5.16765E-06,-5.25957E-06,5.4299E-06,1.24562E-05,9.04443E-06,1.67021E-05,2.53274E-05,-8.67675E-06,-1.88143E-05,-2.39699E-06,-2.20021E-05,-3.34719E-05,-1.71799E-05,-2.89016E-05,-3.13661E-05,-2.00408E-05,-3.35168E-05,-3.02579E-05,-2.04958E-05,-1.33624E-05,-2.69452E-06,-1.69263E-06,-4.75778E-06,-5.50395E-06,-7.00326E-06,-6.20878E-06,-2.25175E-06,-8.20709E-07
18,-1.94708E-05,-3.7982E-06,-5.16556E-06,-5.25975E-06,5.42879E-06,1.24558E-05,9.04586E-06,1.67043E-05,2.53354E-05,-8.6683E-06,-1.88111E-05,-2.38963E-06,-2.1995E-05,-3.34685E-05,-1.7175E-05,-2.88957E-05,-3.13639E-05,-2.00362E-05,-3.35144E-05,-3.02582E-05,-2.04956E-05,-1.33941E-05,-2.76461E-06,-1.81156E-06,-4.93839E-06,-4.0122E-06,-7.14029E-06,-6.39097E-06,-2.48689E-06,-9.53358E-07
19,-1.94662E-05,-3.79406E-06,-5.16155E-06,-5.2577E-06,5.43028E-06,1.24588E-05,9.04973E-06,1.67089E-05,2.53454E-05,-8.65864E-06,-1.88083E-05,-2.38158E-06,-2.19884E-05,-3.34658E-05,-1.71706E-05,-2.88909E-05,-3.13633E-05,-2.00326E-05,-3.35132E-05,-3.02596E-05,-2.0496E-05,-1.34233E-05,-2.8284E-06,-1.91984E-06,-5.10311E-06,-4.24584E-06,-5.29281E-06,-6.55706E-06,-2.70119E-06,-1.07422E-06
20,-1.94616E-05,-3.78924E-06,-5.15662E-06,-5.25474E-06,5.43358E-06,1.24632E-05,9.05508E-06,1.67146E-05,2.5356E-05,-8.64888E-06,-1.88055E-05,-2.37425E-06,-2.19824E-05,-3.34639E-05,-1.71673E-05,-2.88866E-05,-3.13634E-05,-2.00301E-05,-3.35126E-05,-3.02613E-05,-2.04966E-05,-1.34502E-05,-2.88661E-06,-2.01859E-06,-5.25307E-06,-4.45885E-06,-5.5823E-06,-4.33214E-06,-2.89645E-06,-1.18433E-06
21,-1.94574E-05,-3.78476E-06,-5.15183E-06,-5.25149E-06,5.43721E-06,1.24682E-05,9.06075E-06,1.67203E-05,2.53659E-05,-8.63994E-06,-1.88031E-05,-2.3677E-06,-2.19773E-05,-3.34625E-05,-1.71646E-05,-2.88833E-05,-3.13636E-05,-2.00281E-05,-3.35123E-05,-3.02628E-05,-2.0497E-05,-1.34745E-05,-2.93969E-06,-2.10866E-06,-5.38987E-06,-4.65287E-06,-5.84615E-06,-4.68139E-06,-2.70426E-07,-1.28467E-06
