x,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
7,-0.009249939,-0.009654425,-0.010038407,-0.010661174,-0.011373769,-0.011717131,-0.011774139,-0.011452216,-0.010639066,-0.009506837,-0.008306937,-0.006953808,-0.005869869,-0.005004268,-0.004170575,-0.003607895,-0.003082359,-0.002633115,-0.00223878,-0.001867273,-0.001558314,-0.001790557,-0.002020902,-0.002506946,-0.003066062,-0.002481348,-0.001925703,-0.001372244,-0.000846768,-0.000368018
8,-0.008889083,-0.009095695,-0.009305969,-0.009695892,-0.010132516,-0.010384006,-0.010387214,-0.010116055,-0.009474834,-0.008558803,-0.007575991,-0.006519644,-0.005644386,-0.004929203,-0.004213967,-0.003724309,-0.003243779,-0.002822554,-0.002450677,-0.002091368,-0.001808506,-0.001970454,-0.002205872,-0.002611463,-0.003138198,-0.002596456,-0.002048999,-0.001491092,-0.00094231,-0.000431731
9,-0.008191445,-0.00826539,-0.008351609,-0.008585597,-0.008858273,-0.009015132,-0.008991241,-0.008758245,-0.008260563,-0.007536599,-0.006760725,-0.005930185,-0.005237482,-0.004657686,-0.004068257,-0.003656787,-0.003229268,-0.002845343,-0.002503315,-0.002168431,-0.001921094,-0.002086018,-0.002263408,-0.002663289,-0.003133626,-0.002646687,-0.002128802,-0.001586338,-0.001031404,-0.000488863
10,-0.007156694,-0.007152076,-0.007167483,-0.007305882,-0.007483178,-0.007577568,-0.007546606,-0.00734915,-0.006968665,-0.006403195,-0.005807576,-0.005159882,-0.00462238,-0.004163566,-0.003696779,-0.003366114,-0.002998594,-0.002659591,-0.002354281,-0.002052199,-0.001845354,-0.002045107,-0.002252238,-0.002540874,-0.003039429,-0.002612122,-0.002138911,-0.00163261,-0.001093396,-0.000533909
11,-0.005843168,-0.00580543,-0.005795695,-0.0058905,-0.006022475,-0.006090798,-0.006069316,-0.005908745,-0.005622095,-0.005183871,-0.004734592,-0.004236718,-0.003828291,-0.003471893,-0.003114211,-0.002862184,-0.00255681,-0.002268301,-0.002004377,-0.00173911,-0.001574751,-0.00183797,-0.002099138,-0.002405325,-0.002749455,-0.002490821,-0.002067491,-0.00161048,-0.001110033,-0.000555612
12,-0.004348017,-0.004313287,-0.004312249,-0.004402808,-0.004529156,-0.0046011,-0.004601775,-0.004479966,-0.004267594,-0.003929466,-0.00359658,-0.003215921,-0.002912679,-0.002640349,-0.002370824,-0.002188621,-0.001942525,-0.0017055,-0.001485692,-0.001257434,-0.001132641,-0.00149081,-0.001824864,-0.002174953,-0.002535634,-0.002177629,-0.001922372,-0.001516984,-0.001069313,-0.000544593
13,-0.002788947,-0.002781447,-0.002810644,-0.002922834,-0.003069405,-0.003166225,-0.003196396,-0.003114266,-0.002959576,-0.002699062,-0.002457151,-0.002166259,-0.001944893,-0.001740306,-0.00153787,-0.00141254,-0.001217798,-0.001028884,-0.000851984,-0.000659301,-0.000566289,-0.001042682,-0.001476002,-0.00188705,-0.002289804,-0.001959968,-0.001585096,-0.001369585,-0.000976158,-0.000497863
14,-0.001297784,-0.001328925,-0.001397571,-0.001544251,-0.001723675,-0.001855916,-0.001917803,-0.001873338,-0.001762056,-0.001560184,-0.001388095,-0.001165171,-0.001006053,-0.000854235,-0.000698622,-0.000618431,-0.000465215,-0.000316306,-0.000177477,-1.63409E-05,5.37348E-05,-0.000549573,-0.001100106,-0.001604839,-0.002060457,-0.001739317,-0.001386937,-0.001019226,-0.000852293,-0.000425595
15,1.82117E-05,-5.39325E-05,-0.000162223,-0.00034648,-0.000561806,-0.000732079,-0.00082368,-0.000812903,-0.000732817,-0.000573765,-0.000453643,-0.000281731,-0.000169197,-5.84908E-05,6.6698E-05,0.000114721,0.00023476,0.000351568,0.000461341,0.00059651,0.000651587,-7.34884E-05,-0.000745838,-0.001367152,-0.001914015,-0.001556822,-0.001212429,-0.000863854,-0.000500153,-0.000344171
16,0.001073266,0.000962575,0.000819146,0.000599737,0.000350987,0.000145081,2.71686E-05,9.07958E-06,6.74058E-05,0.000196618,0.000279516,0.000414053,0.000492584,0.000571127,0.000678397,0.000703272,0.000802231,0.000893628,0.000980512,0.001098626,0.001144082,0.000318451,-0.000469703,-0.001215194,-0.001880579,-0.001477618,-0.001094673,-0.000752112,-0.000407563,-9.35316E-06
