x,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
10,-4.5008E-05,-1.98061E-05,-3.29233E-05,-3.09242E-05,-1.95713E-05,-2.55992E-05,-3.52005E-05,-3.04328E-05,-4.44852E-05,-4.74224E-05,-5.27462E-05,-5.56206E-05,-5.46332E-05,-5.95757E-05,-4.99248E-05,-4.17816E-05,-4.03867E-05,-3.06677E-05,-2.62234E-05,-2.1918E-05,-1.34765E-05,-1.03451E-05,-7.01175E-06,-5.91103E-06,-6.33381E-06,-5.50745E-06,-4.29147E-06,-3.58478E-06,-2.16281E-06,-2.0063E-06
11,-3.63172E-05,-1.21808E-05,-2.59629E-05,-2.43605E-05,-1.19133E-05,-1.98663E-05,-2.94411E-05,-1.81998E-05,-3.66265E-05,-3.89575E-05,-4.04779E-05,-4.5715E-05,-4.82168E-05,-4.92731E-05,-4.46527E-05,-3.6046E-05,-3.37077E-05,-2.7058E-05,-2.29702E-05,-2.04128E-05,-1.26529E-05,-8.54972E-06,-5.73139E-06,-5.07803E-06,-5.01333E-06,-4.96749E-06,-3.82994E-06,-3.25855E-06,-1.75003E-06,-1.48878E-06
12,-2.81095E-05,-2.93346E-06,-1.78467E-05,-1.6949E-05,-4.93474E-06,-1.1716E-05,-2.33381E-05,-1.20691E-05,-2.36012E-05,-3.05828E-05,-3.14601E-05,-3.2674E-05,-3.76801E-05,-4.24516E-05,-3.37071E-05,-3.04462E-05,-2.76141E-05,-1.99656E-05,-1.91366E-05,-1.69587E-05,-1.10552E-05,-7.78339E-06,-3.92158E-06,-3.71261E-06,-4.12205E-06,-3.55824E-06,-3.24786E-06,-2.75874E-06,-1.39245E-06,-1.03834E-06
13,-1.81631E-05,5.78704E-06,-8.01119E-06,-8.31496E-06,2.93908E-06,-4.29933E-06,-1.46684E-05,-5.58102E-06,-1.70881E-05,-1.67192E-05,-2.25477E-05,-2.31017E-05,-2.38175E-05,-3.12546E-05,-2.64674E-05,-1.8822E-05,-2.16671E-05,-1.34984E-05,-1.16063E-05,-1.28895E-05,-7.38974E-06,-6.18452E-06,-3.0927E-06,-1.88784E-06,-2.66666E-06,-2.60534E-06,-1.74469E-06,-2.1322E-06,-8.5202E-07,-6.47768E-07
14,-5.42186E-06,1.63499E-05,1.2545E-06,2.14099E-06,1.21072E-05,4.06367E-06,-6.78831E-06,3.63248E-06,-1.02001E-05,-9.798E-06,-7.80661E-06,-1.36486E-05,-1.36511E-05,-1.65299E-05,-1.4584E-05,-1.11404E-05,-9.32426E-06,-7.19023E-06,-4.74196E-06,-4.89728E-06,-3.07307E-06,-2.38123E-06,-1.38257E-06,-9.92636E-07,-8.26275E-07,-1.05487E-06,-7.26678E-07,-5.29704E-07,-1.7837E-07,-6.45094E-08
15,1.89837E-06,3.43012E-05,1.17095E-05,1.18112E-05,2.58727E-05,1.55617E-05,1.22316E-06,1.8793E-05,-1.75119E-06,3.97782E-07,5.79341E-06,-5.62912E-06,-5.10658E-06,-1.25172E-05,-1.22283E-05,-7.91312E-06,-5.48633E-06,-4.74796E-06,-7.30634E-07,-3.23986E-06,-1.59068E-06,-1.31918E-06,-2.24552E-07,2.7079E-07,5.52791E-07,9.27174E-07,1.1798E-09,2.66895E-07,6.93922E-07,8.91271E-07
16,1.27992E-06,3.36608E-05,1.01584E-05,1.09036E-05,2.50287E-05,1.4365E-05,2.2277E-07,1.80902E-05,-3.06757E-06,-3.38205E-07,4.9092E-06,-6.80664E-06,-5.80098E-06,-1.32548E-05,-1.25744E-05,-8.1164E-06,-5.76449E-06,-5.07959E-06,-9.41545E-07,-3.58648E-06,-1.73398E-06,-1.60689E-06,-4.91682E-07,-1.33485E-08,2.519E-07,6.09985E-07,1.02429E-06,1.1867E-07,5.38411E-07,7.29228E-07
17,3.6774E-07,3.29976E-05,9.48177E-06,9.25574E-06,2.40624E-05,1.34707E-05,-1.04497E-06,1.70271E-05,-3.80941E-06,-1.73406E-06,4.1299E-06,-7.74535E-06,-7.05089E-06,-1.3991E-05,-1.33589E-05,-8.48511E-06,-5.98062E-06,-5.37599E-06,-1.29415E-06,-3.81045E-06,-2.10257E-06,-1.90435E-06,-7.73665E-07,-2.70942E-07,-2.11166E-08,3.21952E-07,7.22009E-07,9.85715E-07,3.9735E-07,5.82084E-07
18,-4.74541E-07,3.2024E-05,8.78238E-06,8.53925E-06,2.23109E-05,1.24482E-05,-1.99066E-06,1.56806E-05,-4.93379E-06,-2.51947E-06,2.64948E-06,-8.57166E-06,-8.04656E-06,-1.53168E-05,-1.41415E-05,-9.31912E-06,-6.37224E-06,-5.60617E-06,-1.60919E-06,-4.18456E-06,-2.34082E-06,-2.42784E-06,-1.068E-06,-5.46564E-07,-2.68483E-07,6.07418E-08,4.47639E-07,6.99327E-07,1.09896E-06,4.48682E-07
19,-1.43139E-06,3.11274E-05,7.75411E-06,7.79918E-06,2.15516E-05,1.05916E-05,-3.07261E-06,1.46775E-05,-6.35926E-06,-3.71144E-06,1.81783E-06,-1.0142E-05,-8.92292E-06,-1.63729E-05,-1.55496E-05,-1.01505E-05,-7.25768E-06,-6.02219E-06,-1.85368E-06,-4.51871E-06,-2.73804E-06,-2.80109E-06,-1.60401E-06,-8.37377E-07,-5.37277E-07,-1.75771E-07,1.98975E-07,4.39512E-07,8.29418E-07,9.75014E-07
