x,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2,-0.03593495,-0.033485143,-0.036477348,-0.034188834,-0.03266855,-0.03264652,-0.032457296,-0.031916043,-0.03323055,-0.031411869,-0.031425843,-0.029641975,-0.029246267,-0.026180343,-0.024547471,-0.022779578,-0.021201786,-0.019257578,-0.01747607,-0.015849274,-0.014329276,-0.012932098,-0.011525798,-0.010424812,-0.00938767,-0.00851289,-0.007684555,-0.006832977,-0.005891534,-0.004716096
3,-0.020456827,-0.018884343,-0.020863593,-0.019401018,-0.018429758,-0.018447212,-0.018357934,-0.018063951,-0.018997174,-0.017907341,-0.018032819,-0.01698428,-0.016863737,-0.015002066,-0.014062141,-0.013051315,-0.012202326,-0.011032417,-0.010011125,-0.009061378,-0.008186378,-0.007350944,-0.006513586,-0.005853778,-0.005216693,-0.004671072,-0.004146115,-0.003604818,-0.00301887,-0.002276217
4,-0.012952553,-0.011764749,-0.013279319,-0.012174728,-0.011445181,-0.011476037,-0.011432763,-0.011257623,-0.012033116,-0.011277424,-0.011468772,-0.010773034,-0.010793425,-0.009496376,-0.008910854,-0.008277969,-0.007780693,-0.007011725,-0.006357081,-0.005750172,-0.005192171,-0.004638849,-0.004076632,-0.003638952,-0.003205287,-0.002829183,-0.002462685,-0.002081153,-0.001676634,-0.001178691
5,-0.007891668,-0.006942178,-0.008167594,-0.007284999,-0.006707242,-0.006751802,-0.006745969,-0.00665703,-0.007345941,-0.006813278,-0.007066553,-0.006609058,-0.006737818,-0.005814912,-0.005474284,-0.005103308,-0.004844151,-0.004352014,-0.003949857,-0.003575815,-0.003232068,-0.002869024,-0.002492599,-0.002186086,-0.001899676,-0.001637011,-0.001376042,-0.001101168,-0.000807729,-0.000456346
6,-0.005116452,-0.004340803,-0.00535442,-0.004637479,-0.00417688,-0.004228555,-0.004243205,-0.00419794,-0.004799968,-0.004401427,-0.00465962,-0.004336652,-0.004500121,-0.003801716,-0.003588355,-0.00335284,-0.003207255,-0.002867751,-0.002597656,-0.002347068,-0.002115943,-0.001853326,-0.001576446,-0.001345563,-0.001117633,-0.000934002,-0.000733246,-0.000520773,-0.000294643,-2.34348E-05
7,-0.003598956,-0.002947084,-0.003802771,-0.003210306,-0.002840533,-0.002902351,-0.002931171,-0.002911457,-0.003438171,-0.003125356,-0.003370379,-0.003126312,-0.003293468,-0.002738272,-0.00258917,-0.002423825,-0.002333471,-0.002076454,-0.001877764,-0.001691316,-0.001519325,-0.001308601,-0.001081834,-0.000890374,-0.000700892,-0.000529646,-0.00038328,-0.000205034,-1.80972E-05,0.00020024
8,-0.002404247,-0.001843224,-0.002569703,-0.002074053,-0.00177945,-0.001854846,-0.001901809,-0.001905398,-0.002376157,-0.002132745,-0.002368372,-0.002185405,-0.002356273,-0.001913162,-0.001814688,-0.001704074,-0.001659371,-0.001463964,-0.001321216,-0.001183525,-0.001057023,-0.000884645,-0.000695177,-0.000533177,-0.000371477,-0.000223277,-7.5465E-05,5.19826E-05,0.000211699,0.000393502
9,-0.001541602,-0.001060959,-0.001667626,-0.00125337,-0.001027576,-0.001117302,-0.001181918,-0.001207314,-0.001626353,-0.001439449,-0.001658576,-0.001521974,-0.001685675,-0.001330403,-0.001264896,-0.001189592,-0.001173577,-0.001018097,-0.000910628,-0.000804506,-0.000707087,-0.000558596,-0.000391666,-0.000248348,-0.000103677,3.02729E-05,0.000163668,0.000307065,0.000416157,0.000574329
10,-0.000854518,-0.000460658,-0.000954477,-0.000614138,-0.000450284,-0.000553562,-0.000636629,-0.000683156,-0.00105716,-0.000921505,-0.001122197,-0.001024515,-0.001176499,-0.000895451,-0.000853042,-0.000802147,-0.0008048,-0.00067782,-0.000594958,-0.000510615,-0.000432936,-0.000299624,-0.000147211,-1.462E-05,0.000118872,0.000244678,0.000369039,0.000503312,0.000639807,0.000742322
11,-0.000264282,3.75922E-05,-0.000372386,-9.23161E-05,1.81224E-05,-9.61492E-05,-0.000196489,-0.000264703,-0.000606043,-0.000517463,-0.000705338,-0.000640353,-0.000781872,-0.000560537,-0.000534627,-0.000501571,-0.000517465,-0.000410797,-0.000345861,-0.000277105,-0.000213801,-8.807E-05,5.55693E-05,0.00018185,0.000309906,0.000430636,0.000550704,0.000680005,0.000810493,0.000948977
