x,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2,-6.95298E-05,-4.86923E-05,-3.78228E-05,-5.20102E-05,-3.96905E-05,-3.2561E-05,-2.90584E-05,-3.65232E-05,-1.14919E-05,-7.95735E-06,-8.71512E-05,-3.42183E-05,-4.39227E-05,-9.26181E-05,-7.34212E-05,-3.53907E-05,-8.69594E-05,-3.35916E-05,-4.25195E-05,-6.10108E-05,-3.05307E-05,-2.97265E-05,-1.08939E-05,-3.49916E-06,-6.89009E-06,-9.79782E-06,-5.50568E-06,-1.21705E-05,-3.97484E-06,-2.92956E-06
3,-7.88194E-05,-5.68454E-05,-4.52701E-05,-5.903E-05,-4.78903E-05,-3.87058E-05,-3.52354E-05,-4.96257E-05,-1.99274E-05,-1.70386E-05,-0.000100251,-4.48006E-05,-5.07679E-05,-0.000103589,-7.9032E-05,-4.14934E-05,-9.40621E-05,-3.74294E-05,-4.59771E-05,-6.261E-05,-3.14062E-05,-3.08898E-05,-1.23041E-05,-4.44012E-06,-8.35519E-06,-1.04419E-05,-6.07477E-06,-1.26054E-05,-4.51202E-06,-3.58955E-06
4,-8.75851E-05,-6.67252E-05,-5.3945E-05,-6.69476E-05,-5.53495E-05,-4.74225E-05,-4.17659E-05,-5.61775E-05,-3.38633E-05,-2.60032E-05,-0.00010986,-5.87126E-05,-6.19981E-05,-0.000110845,-9.06783E-05,-4.74505E-05,-0.000100541,-4.49692E-05,-5.00518E-05,-6.62797E-05,-3.31036E-05,-3.18282E-05,-1.34829E-05,-5.94044E-06,-9.35796E-06,-1.20013E-05,-6.76338E-06,-1.32155E-05,-4.98014E-06,-4.16669E-06
5,-9.81996E-05,-7.60335E-05,-6.44467E-05,-7.61609E-05,-6.37544E-05,-5.53409E-05,-5.10253E-05,-6.3099E-05,-4.08199E-05,-4.08081E-05,-0.000119344,-6.89114E-05,-7.67615E-05,-0.000122755,-9.83757E-05,-5.98144E-05,-0.000106862,-5.18441E-05,-5.80546E-05,-7.06021E-05,-3.69979E-05,-3.36372E-05,-1.44872E-05,-7.13478E-06,-1.09538E-05,-1.30696E-05,-8.42232E-06,-1.39516E-05,-5.63307E-06,-4.66991E-06
6,-8.0168E-06,-1.19767E-06,1.23128E-06,-2.01863E-06,1.32246E-06,4.0663E-06,4.98234E-06,2.41955E-06,8.20885E-06,8.47939E-06,-1.42998E-05,-1.48174E-06,-4.19254E-06,-1.75728E-05,-1.34347E-05,-4.87658E-06,-1.85259E-05,-6.675E-06,-8.87566E-06,-1.33169E-05,-6.04481E-06,-5.74426E-06,-1.60085E-06,-1.02513E-07,-8.5577E-07,-1.75646E-06,-9.53473E-07,-2.3068E-06,-7.15164E-07,-4.65041E-07
7,-7.39132E-06,3.44436E-07,2.12792E-06,-1.18814E-06,2.50724E-06,5.05569E-06,5.67026E-06,3.72571E-06,8.93244E-06,9.35132E-06,-1.31279E-05,-7.93845E-07,-3.45874E-06,-1.72292E-05,-1.32336E-05,-4.60024E-06,-1.81954E-05,-6.46525E-06,-8.52956E-06,-1.31741E-05,-5.91679E-06,-5.65239E-06,-1.50903E-06,-1.2722E-08,-7.70343E-07,-1.30195E-06,-9.15021E-07,-2.2718E-06,-6.85401E-07,-4.4273E-07
8,-6.74293E-06,1.00821E-06,3.76508E-06,-2.35788E-07,3.38789E-06,6.31208E-06,6.71915E-06,4.4554E-06,1.03169E-05,1.01178E-05,-1.2196E-05,4.49659E-07,-2.72737E-06,-1.64467E-05,-1.28671E-05,-4.38659E-06,-1.78999E-05,-6.11397E-06,-8.30627E-06,-1.28058E-05,-5.76474E-06,-5.52995E-06,-1.42663E-06,6.7967E-08,-6.93423E-07,-1.23143E-06,-3.04452E-07,-2.24051E-06,-6.58752E-07,-4.22704E-07
9,-5.78288E-06,1.69477E-06,4.46829E-06,1.50355E-06,4.39739E-06,7.24536E-06,8.05238E-06,5.56868E-06,1.10898E-05,1.15869E-05,-1.13764E-05,1.43824E-06,-1.40614E-06,-1.56665E-05,-1.20349E-05,-3.99744E-06,-1.76705E-05,-5.80018E-06,-7.93274E-06,-1.25676E-05,-5.37357E-06,-5.3809E-06,-1.3106E-06,1.40098E-07,-6.24554E-07,-1.16816E-06,-2.49819E-07,-1.46441E-06,-6.35115E-07,-4.04967E-07
10,-4.89807E-06,2.71153E-06,5.19637E-06,2.25076E-06,6.24302E-06,8.31622E-06,9.04339E-06,6.98423E-06,1.2271E-05,1.24074E-05,-9.81161E-06,2.30786E-06,-3.55131E-07,-1.42603E-05,-1.12054E-05,-3.11424E-06,-1.72549E-05,-5.55698E-06,-7.5992E-06,-1.21704E-05,-5.12099E-06,-4.97697E-06,-1.16514E-06,2.49269E-07,-5.63223E-07,-1.11181E-06,-2.01111E-07,-1.42656E-06,3.16291E-07,-3.89453E-07
11,-3.89031E-06,3.64832E-06,6.27637E-06,3.02516E-06,7.03507E-06,1.02764E-05,1.01818E-05,8.03707E-06,1.37748E-05,1.3663E-05,-8.93542E-06,3.96908E-06,5.69876E-07,-1.31408E-05,-9.71153E-06,-2.23361E-06,-1.63152E-05,-5.11641E-06,-7.34061E-06,-1.18157E-05,-4.69967E-06,-4.71923E-06,-7.48364E-07,3.90915E-07,-4.61203E-07,-1.06191E-06,-1.58083E-07,-1.39321E-06,3.36186E-07,7.47723E-07
