x,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
9,-8.74268E-05,-6.03893E-05,-4.87318E-05,-6.12499E-05,-4.86446E-05,-4.21621E-05,-5.75041E-05,-7.04941E-05,-7.20497E-05,-9.28378E-05,-0.000104974,-9.90623E-05,-0.000104781,-0.000110898,-9.52688E-05,-8.18121E-05,-7.88229E-05,-5.85308E-05,-5.20684E-05,-4.07835E-05,-2.58947E-05,-1.93649E-05,-1.36265E-05,-1.14874E-05,-1.2309E-05,-1.07031E-05,-8.33992E-06,-6.96655E-06,-4.20313E-06,-3.89897E-06
10,-7.05766E-05,-4.55984E-05,-3.52288E-05,-4.85168E-05,-3.3783E-05,-3.10355E-05,-4.63275E-05,-4.6748E-05,-5.67967E-05,-7.64087E-05,-8.11574E-05,-7.98314E-05,-9.23275E-05,-9.08951E-05,-8.50348E-05,-7.06764E-05,-6.58537E-05,-5.15223E-05,-4.57518E-05,-3.78616E-05,-2.42961E-05,-1.65782E-05,-1.11383E-05,-9.86857E-06,-9.74282E-06,-9.65373E-06,-7.44302E-06,-6.33258E-06,-3.40096E-06,-2.89325E-06
11,-5.4654E-05,-2.76525E-05,-1.94763E-05,-3.41321E-05,-2.02354E-05,-1.52117E-05,-3.44798E-05,-3.48452E-05,-3.15053E-05,-6.0149E-05,-6.36476E-05,-5.45058E-05,-7.18667E-05,-7.76491E-05,-6.37772E-05,-5.98015E-05,-5.40189E-05,-3.7747E-05,-3.83061E-05,-3.11527E-05,-2.11931E-05,-1.49732E-05,-7.62099E-06,-7.21504E-06,-8.01074E-06,-6.91503E-06,-6.31184E-06,-5.36128E-06,-2.70606E-06,-2.01788E-06
12,-3.53503E-05,-1.07241E-05,-3.82469E-07,-1.73701E-05,-4.94664E-06,-8.09551E-07,-1.76445E-05,-2.22453E-05,-1.88569E-05,-3.32255E-05,-4.63389E-05,-3.59138E-05,-4.49418E-05,-5.5901E-05,-4.97151E-05,-3.72221E-05,-4.24669E-05,-2.51843E-05,-2.3678E-05,-2.32479E-05,-1.40726E-05,-1.17628E-05,-6.01022E-06,-3.66872E-06,-5.18235E-06,-5.06317E-06,-3.3906E-06,-4.14367E-06,-1.6558E-06,-1.25885E-06
13,-1.06183E-05,9.78176E-06,1.76057E-05,2.93056E-06,1.28555E-05,1.54306E-05,-2.34143E-06,-4.35211E-06,-5.47974E-06,-1.97828E-05,-1.77074E-05,-1.75522E-05,-2.51948E-05,-2.72988E-05,-2.66314E-05,-2.22999E-05,-1.84897E-05,-1.293E-05,-1.03431E-05,-7.72173E-06,-5.68682E-06,-4.28097E-06,-2.68683E-06,-1.92904E-06,-1.60572E-06,-2.05003E-06,-1.41221E-06,-1.02941E-06,-3.46639E-07,-1.25363E-07
14,-4.32276E-06,2.52181E-05,2.65935E-05,1.12448E-05,2.46914E-05,2.5315E-05,4.54447E-06,8.68758E-06,1.78513E-06,-1.10101E-05,-6.00022E-06,-1.06488E-05,-1.78371E-05,-2.38403E-05,-2.46E-05,-1.95188E-05,-1.51824E-05,-1.08254E-05,-6.88785E-06,-6.29326E-06,-4.40988E-06,-3.36619E-06,-1.77427E-06,-9.26266E-07,-5.02144E-07,9.1546E-08,-8.09436E-07,-3.64175E-07,3.88602E-07,6.88587E-07
15,2.20333E-06,3.1889E-05,4.29906E-05,2.07905E-05,3.35123E-05,3.78813E-05,1.50434E-05,1.59948E-05,1.56305E-05,-3.2943E-06,3.31302E-06,1.77221E-06,-1.05108E-05,-1.60317E-05,-2.09334E-05,-1.73664E-05,-1.22328E-05,-7.32003E-06,-4.65681E-06,-2.62874E-06,-2.89637E-06,-2.14946E-06,-9.55484E-07,-2.59105E-08,4.8956E-07,1.18544E-06,1.99056E-06,2.30628E-07,1.04634E-06,1.41717E-06
16,4.33352E-07,3.05988E-05,4.16726E-05,1.759E-05,3.16335E-05,3.61415E-05,1.25809E-05,1.39298E-05,1.41886E-05,-6.00393E-06,1.79966E-06,-5.05205E-08,-1.29366E-05,-1.74597E-05,-2.24549E-05,-1.80808E-05,-1.26513E-05,-7.89501E-06,-5.34114E-06,-3.06346E-06,-3.61196E-06,-2.56996E-06,-1.50346E-06,-5.26496E-07,-4.09978E-08,6.25695E-07,1.40313E-06,1.91557E-06,7.72205E-07,1.13121E-06
17,-1.20077E-06,2.87056E-05,4.03097E-05,1.61971E-05,2.823E-05,3.41517E-05,1.07435E-05,1.13143E-05,1.20039E-05,-7.52795E-06,-1.07486E-06,-1.65487E-06,-1.48685E-05,-2.00323E-05,-2.3972E-05,-1.96983E-05,-1.34105E-05,-8.34118E-06,-5.95239E-06,-3.78971E-06,-4.07423E-06,-3.44331E-06,-2.07544E-06,-1.06211E-06,-5.21708E-07,1.18077E-07,8.69926E-07,1.35902E-06,2.13557E-06,8.71954E-07
18,-3.05729E-06,2.69611E-05,3.8308E-05,1.47581E-05,2.67516E-05,3.05432E-05,8.64156E-06,9.36487E-06,9.2348E-06,-9.84151E-06,-2.69007E-06,-4.70367E-06,-1.65685E-05,-2.20807E-05,-2.67035E-05,-2.13107E-05,-1.51285E-05,-9.14815E-06,-6.42665E-06,-4.43818E-06,-4.84519E-06,-4.03752E-06,-3.11706E-06,-1.62725E-06,-1.04406E-06,-3.41545E-07,3.86685E-07,8.54106E-07,1.61177E-06,1.89466E-06
19,-5.36191E-06,2.49836E-05,3.64653E-05,1.26405E-05,2.52259E-05,2.8982E-05,4.81791E-06,7.13462E-06,7.17242E-06,-1.27776E-05,-5.14511E-06,-6.41449E-06,-1.98032E-05,-2.38841E-05,-2.88788E-05,-2.42123E-05,-1.68412E-05,-1.0972E-05,-7.2836E-06,-4.94103E-06,-5.53326E-06,-4.94998E-06,-3.8521E-06,-2.69437E-06,-1.60185E-06,-8.49805E-07,-5.05408E-08,3.96792E-07,1.13684E-06,1.40569E-06
20,-8.3027E-06,2.25323E-05,3.43738E-05,1.06906E-05,2.2979E-05,2.73688E-05,3.16707E-06,3.07387E-06,4.80878E-06,-1.49653E-05,-8.26328E-06,-9.01862E-06,-2.16189E-05,-2.73188E-05,-3.07942E-05,-2.65234E-05,-1.99231E-05,-1.279E-05,-9.21984E-06,-5.85008E-06,-6.06627E-06,-4.40895E-06,-4.91594E-06,-3.4397E-06,-2.696E-06,-1.39976E-06,-5.43816E-07,-1.66751E-08,7.07023E-07,9.62591E-07
21,-1.11134E-05,1.94055E-05,3.17758E-05,8.4736E-06,2.09099E-05,2.49869E-05,1.45752E-06,1.32043E-06,4.96176E-07,-1.74765E-05,-1.05887E-05,-1.23287E-05,-2.43851E-05,-2.92485E-05,-3.44424E-05,-2.85586E-05,-2.23788E-05,-1.60614E-05,-1.11501E-05,-7.90508E-06,-7.03025E-06,-5.17381E-06,-3.0677E-06,-4.53715E-06,-3.45234E-06,-2.52248E-06,-1.0854E-06,-4.94085E-07,3.18775E-07,5.61878E-07
22,-1.45497E-05,1.64168E-05,2.84559E-05,5.71437E-06,1.8555E-05,2.27903E-05,-1.0731E-06,-4.97456E-07,-1.36781E-06,-2.20625E-05,-1.32604E-05,-1.47988E-05,-2.79037E-05,-3.21896E-05,-3.64928E-05,-3.24346E-05,-2.45423E-05,-1.86683E-05,-1.46241E-05,-9.95422E-06,-9.21074E-06,-6.37857E-06,-4.07969E-06,-3.00064E-06,-4.58559E-06,-3.29038E-06,-2.23829E-06,-1.02684E-06,-1.41746E-07,2.00299E-07
23,-1.92062E-05,1.27613E-05,2.52785E-05,2.1834E-06,1.5621E-05,2.02863E-05,-3.41058E-06,-3.19097E-06,-3.30322E-06,-2.40487E-05,-1.81398E-05,-1.76383E-05,-3.05316E-05,-3.59315E-05,-3.96182E-05,-3.4614E-05,-2.86614E-05,-2.09651E-05,-1.73934E-05,-1.36434E-05,-1.13855E-05,-8.85908E-06,-5.54148E-06,-4.00842E-06,-3.38035E-06,-4.46143E-06,-3.01834E-06,-2.21177E-06,-6.6504E-07,-2.42416E-07
24,-1.92073E-05,1.27638E-05,2.52834E-05,2.1894E-06,1.563E-05,2.02974E-05,-3.39981E-06,-3.18136E-06,-3.29473E-06,-2.40446E-05,-1.81405E-05,-1.7637E-05,-3.05326E-05,-3.59354E-05,-3.96216E-05,-3.46177E-05,-2.86677E-05,-2.09694E-05,-1.73986E-05,-1.36484E-05,-1.1388E-05,-9.01142E-06,-5.88328E-06,-4.34576E-06,-3.7069E-06,-2.68066E-06,-3.12782E-06,-2.3045E-06,-7.34476E-07,-2.81579E-07
25,-1.92079E-05,1.27661E-05,2.52877E-05,2.19482E-06,1.56379E-05,2.03072E-05,-3.39018E-06,-3.17278E-06,-3.28689E-06,-2.40403E-05,-1.81411E-05,-1.76352E-05,-3.05329E-05,-3.59383E-05,-3.96237E-05,-3.46202E-05,-2.86726E-05,-2.09724E-05,-1.74027E-05,-1.36524E-05,-1.13899E-05,-9.14998E-06,-6.19457E-06,-4.65295E-06,-4.00439E-06,-2.96043E-06,-1.66259E-06,-2.38896E-06,-7.97751E-07,-3.17266E-07
26,-1.92085E-05,1.27675E-05,2.52912E-05,2.19894E-06,1.56439E-05,2.0315E-05,-3.38204E-06,-3.16575E-06,-3.28003E-06,-2.40365E-05,-1.81417E-05,-1.76336E-05,-3.0533E-05,-3.59403E-05,-3.96251E-05,-3.46217E-05,-2.86761E-05,-2.09744E-05,-1.74055E-05,-1.36555E-05,-1.13914E-05,-9.27602E-06,-6.47806E-06,-4.93276E-06,-4.2753E-06,-3.21531E-06,-1.89256E-06,-1.25883E-06,-8.55393E-07,-3.49778E-07
27,-1.9209E-05,1.27674E-05,2.52931E-05,2.2019E-06,1.56481E-05,2.03205E-05,-3.37566E-06,-3.16066E-06,-3.27461E-06,-2.40336E-05,-1.81423E-05,-1.76322E-05,-3.05328E-05,-3.59418E-05,-3.96259E-05,-3.46226E-05,-2.86787E-05,-2.09758E-05,-1.74077E-05,-1.36576E-05,-1.13924E-05,-9.39059E-06,-6.7363E-06,-5.18762E-06,-4.52204E-06,-3.44744E-06,-2.10208E-06,-1.43623E-06,-7.99621E-08,-3.79399E-07
28,-1.92096E-05,1.27663E-05,2.52938E-05,2.20356E-06,1.56504E-05,2.03243E-05,-3.37106E-06,-3.15721E-06,-3.2704E-06,-2.40313E-05,-1.81432E-05,-1.76313E-05,-3.05327E-05,-3.59428E-05,-3.96264E-05,-3.46233E-05,-2.86807E-05,-2.09768E-05,-1.74092E-05,-1.36591E-05,-1.1393E-05,-9.49477E-06,-6.97156E-06,-5.41983E-06,-4.74675E-06,-3.65885E-06,-2.29296E-06,-1.59786E-06,-2.0155E-07,1.94542E-08
29,-1.92105E-05,1.2764E-05,2.52937E-05,2.20446E-06,1.56514E-05,2.03266E-05,-3.36765E-06,-3.15501E-06,-3.26763E-06,-2.40296E-05,-1.81443E-05,-1.76308E-05,-3.05328E-05,-3.59437E-05,-3.9627E-05,-3.46241E-05,-2.86824E-05,-2.09778E-05,-1.74105E-05,-1.36603E-05,-1.13936E-05,-9.58958E-06,-7.18587E-06,-5.63141E-06,-4.95148E-06,-3.85139E-06,-2.4668E-06,-1.74511E-06,-3.12332E-07,-4.30939E-08
30,-1.92117E-05,1.27609E-05,2.52929E-05,2.2049E-06,1.56518E-05,2.03281E-05,-3.36498E-06,-3.15366E-06,-3.26557E-06,-2.40286E-05,-1.81454E-05,-1.76306E-05,-3.05332E-05,-3.59446E-05,-3.96276E-05,-3.46249E-05,-2.8684E-05,-2.09788E-05,-1.74118E-05,-1.36614E-05,-1.1394E-05,-8.31845E-06,-7.38115E-06,-5.82417E-06,-5.13803E-06,-4.02683E-06,-2.62515E-06,-1.8792E-06,-4.13258E-07,-1.00073E-07
31,-1.92131E-05,1.27579E-05,2.52918E-05,2.20516E-06,1.5652E-05,2.03295E-05,-3.36261E-06,-3.15243E-06,-3.26409E-06,-2.40279E-05,-1.81464E-05,-1.76308E-05,-3.05337E-05,-3.59457E-05,-3.96285E-05,-3.4626E-05,-2.86858E-05,-2.09801E-05,-1.74131E-05,-1.36626E-05,-1.13946E-05,-8.51815E-06,-4.75598E-06,-5.99983E-06,-5.30799E-06,-4.18667E-06,-2.76944E-06,-2.00133E-06,-5.05178E-07,-1.51975E-07
32,-1.92145E-05,1.27549E-05,2.5291E-05,2.20571E-06,1.56526E-05,2.03312E-05,-3.36017E-06,-3.15105E-06,-3.26257E-06,-2.40274E-05,-1.81475E-05,-1.76308E-05,-3.05344E-05,-3.5947E-05,-3.96297E-05,-3.46274E-05,-2.86877E-05,-2.09814E-05,-1.74146E-05,-1.36638E-05,-1.13952E-05,-8.70017E-06,-5.16781E-06,-3.63857E-06,-5.46287E-06,-4.33231E-06,-2.9009E-06,-2.11262E-06,-5.88897E-07,-1.99241E-07
33,-1.92161E-05,1.27518E-05,2.52902E-05,2.20628E-06,1.56534E-05,2.03331E-05,-3.35735E-06,-3.14952E-06,-3.26087E-06,-2.40269E-05,-1.81487E-05,-1.76311E-05,-3.05352E-05,-3.59484E-05,-3.96308E-05,-3.46288E-05,-2.86898E-05,-2.09828E-05,-1.74162E-05,-1.36652E-05,-1.13959E-05,-8.86604E-06,-5.543E-06,-4.00896E-06,-3.38218E-06,-4.46503E-06,-3.02066E-06,-2.21401E-06,-6.65167E-07,-2.42291E-07
34,-1.9218E-05,1.27484E-05,2.52893E-05,2.20676E-06,1.5654E-05,2.03349E-05,-3.35484E-06,-3.14802E-06,-3.25921E-06,-2.40264E-05,-1.81501E-05,-1.76313E-05,-3.05359E-05,-3.59498E-05,-3.9632E-05,-3.46301E-05,-2.86918E-05,-2.09843E-05,-1.74178E-05,-1.36666E-05,-1.13966E-05,-9.01714E-06,-5.88476E-06,-4.3464E-06,-3.70864E-06,-2.68232E-06,-3.12979E-06,-2.30638E-06,-7.34638E-07,-2.81512E-07
35,-1.92202E-05,1.27439E-05,2.52875E-05,2.2067E-06,1.56538E-05,2.0336E-05,-3.35227E-06,-3.14725E-06,-3.25761E-06,-2.40262E-05,-1.81519E-05,-1.76318E-05,-3.05368E-05,-3.5951E-05,-3.96329E-05,-3.46313E-05,-2.86937E-05,-2.09855E-05,-1.74194E-05,-1.36679E-05,-1.13972E-05,-9.15478E-06,-6.19607E-06,-4.65378E-06,-4.00609E-06,-2.96202E-06,-1.66324E-06,-2.39055E-06,-7.97922E-07,-3.17236E-07
36,-1.92228E-05,1.27378E-05,2.52846E-05,2.20564E-06,1.56522E-05,2.0336E-05,-3.35038E-06,-3.14746E-06,-3.25659E-06,-2.40262E-05,-1.81544E-05,-1.76324E-05,-3.05379E-05,-3.59521E-05,-3.96334E-05,-3.46321E-05,-2.86957E-05,-2.09866E-05,-1.74209E-05,-1.36691E-05,-1.13978E-05,-9.2801E-06,-6.47969E-06,-4.93378E-06,-4.27704E-06,-3.21688E-06,-1.89329E-06,-1.25953E-06,-8.55569E-07,-3.49779E-07
37,-1.92259E-05,1.27299E-05,2.52805E-05,2.20375E-06,1.56488E-05,2.03347E-05,-3.34907E-06,-3.14888E-06,-3.25621E-06,-2.40267E-05,-1.81578E-05,-1.76333E-05,-3.05389E-05,-3.5953E-05,-3.96336E-05,-3.46328E-05,-2.86974E-05,-2.09877E-05,-1.74224E-05,-1.36702E-05,-1.13982E-05,-9.39413E-06,-6.73805E-06,-5.18886E-06,-4.52386E-06,-3.44907E-06,-2.10291E-06,-1.43697E-06,-7.98194E-08,-3.79421E-07
38,-1.92296E-05,1.272E-05,2.52754E-05,2.20104E-06,1.56442E-05,2.03321E-05,-3.34815E-06,-3.15153E-06,-3.25628E-06,-2.40278E-05,-1.8162E-05,-1.76348E-05,-3.05402E-05,-3.59539E-05,-3.96337E-05,-3.46335E-05,-2.86991E-05,-2.09888E-05,-1.74242E-05,-1.36713E-05,-1.13987E-05,-9.49795E-06,-6.97348E-06,-5.42127E-06,-4.74874E-06,-3.66056E-06,-2.2939E-06,-1.59866E-06,-2.01534E-07,1.94311E-08
39,-1.92336E-05,1.27093E-05,2.52694E-05,2.19824E-06,1.56389E-05,2.03292E-05,-3.34714E-06,-3.15465E-06,-3.25685E-06,-2.4029E-05,-1.81669E-05,-1.76365E-05,-3.05419E-05,-3.5955E-05,-3.9634E-05,-3.46345E-05,-2.87013E-05,-2.09902E-05,-1.74262E-05,-1.36727E-05,-1.13992E-05,-9.59256E-06,-7.18806E-06,-5.63308E-06,-4.95364E-06,-3.85326E-06,-2.46785E-06,-1.746E-06,-3.12413E-07,-4.31966E-08
40,-1.92378E-05,1.26985E-05,2.5264E-05,2.19598E-06,1.56345E-05,2.03272E-05,-3.34533E-06,-3.15712E-06,-3.25703E-06,-2.40303E-05,-1.81722E-05,-1.76384E-05,-3.05439E-05,-3.59567E-05,-3.96349E-05,-3.46364E-05,-2.87045E-05,-2.09922E-05,-1.74287E-05,-1.36745E-05,-1.14E-05,-8.32218E-06,-7.38374E-06,-5.82617E-06,-5.14044E-06,-4.02886E-06,-2.62634E-06,-1.88017E-06,-4.13429E-07,-1.00236E-07
41,-1.92417E-05,1.26894E-05,2.52597E-05,2.19514E-06,1.56322E-05,2.03271E-05,-3.34195E-06,-3.15798E-06,-3.25614E-06,-2.40312E-05,-1.81774E-05,-1.76405E-05,-3.05463E-05,-3.59593E-05,-3.96369E-05,-3.46393E-05,-2.87089E-05,-2.09954E-05,-1.74321E-05,-1.36769E-05,-1.14011E-05,-8.52215E-06,-4.75818E-06,-6.0023E-06,-5.3108E-06,-4.18898E-06,-2.77077E-06,-2.00243E-06,-5.05404E-07,-1.5219E-07
42,-1.92455E-05,1.26824E-05,2.52574E-05,2.19606E-06,1.56324E-05,2.03299E-05,-3.33664E-06,-3.1565E-06,-3.25378E-06,-2.40312E-05,-1.81822E-05,-1.76422E-05,-3.05491E-05,-3.59627E-05,-3.96399E-05,-3.46433E-05,-2.87148E-05,-2.09996E-05,-1.74366E-05,-1.36802E-05,-1.14027E-05,-8.70464E-06,-5.17057E-06,-3.64054E-06,-5.4663E-06,-4.33504E-06,-2.90247E-06,-2.11384E-06,-5.89176E-07,-1.99472E-07
43,-1.92487E-05,1.26773E-05,2.52568E-05,2.19844E-06,1.56352E-05,2.03349E-05,-3.32958E-06,-3.15269E-06,-3.24985E-06,-2.40305E-05,-1.81864E-05,-1.76438E-05,-3.0552E-05,-3.59672E-05,-3.96438E-05,-3.46484E-05,-2.8722E-05,-2.10049E-05,-1.74422E-05,-1.36845E-05,-1.14048E-05,-8.87128E-06,-5.54642E-06,-4.01152E-06,-3.38524E-06,-4.46839E-06,-3.02257E-06,-2.21543E-06,-6.65481E-07,-2.42522E-07
44,-1.92519E-05,1.26731E-05,2.52568E-05,2.2012E-06,1.5639E-05,2.03414E-05,-3.32149E-06,-3.14767E-06,-3.24478E-06,-2.40291E-05,-1.81906E-05,-1.76449E-05,-3.0555E-05,-3.5972E-05,-3.96482E-05,-3.46538E-05,-2.873E-05,-2.10108E-05,-1.74486E-05,-1.36897E-05,-1.14073E-05,-9.02344E-06,-5.8889E-06,-4.34964E-06,-3.71248E-06,-2.68543E-06,-3.13219E-06,-2.30811E-06,-7.35007E-07,-2.81735E-07
45,-1.92556E-05,1.26676E-05,2.5256E-05,2.20313E-06,1.56417E-05,2.0347E-05,-3.31352E-06,-3.14306E-06,-3.2394E-06,-2.40276E-05,-1.81951E-05,-1.76459E-05,-3.0558E-05,-3.59769E-05,-3.96523E-05,-3.4659E-05,-2.8738E-05,-2.10167E-05,-1.74553E-05,-1.36954E-05,-1.14101E-05,-9.16229E-06,-6.20099E-06,-4.65774E-06,-4.01083E-06,-2.96589E-06,-1.66542E-06,-2.39269E-06,-7.98371E-07,-3.17463E-07
